,NOME,VALOR,DETALHES,ENDEREÇO
373,Kit Net ou Sala Comercial - Em Ponta Negra - Praça do Gringos,R$ 650,"['0m² ', ' 1 vaga']",Ponta Negra
374,Sala no Tirol Way Office - Bairro Tirol - taxas inclusa,R$ 1.599,"['36m² ', ' Condomínio: R$ 1 ', ' 1 vaga']",Tirol
375,Kitnet ,R$ 300,['1 quarto'],Cidade Nova
376,Apto em Candelaria,R$ 2.300,"['3 quartos ', ' 105m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Candelária
377,Oferta - Marie Galante em Lagoa Nova - Aluga,R$ 2.200,"['3 quartos ', ' 98m² ', ' 3 vagas']",Candelária
378,Kitnet pra ALUGAR ,R$ 400,['1 quarto'],Lagoa Azul
379,"Alugo Excelente Flat no Ocean View R$: 2.000,00/Mensal",R$ 2.000,"['1 quarto ', ' 50m² ', ' 1 vaga']",Petrópolis
380,Kitnet e Apartamento próximo à UFRN,R$ 800,['1 quarto'],Lagoa Nova
381,Kitnet bem localizado no bom pastor.,R$ 380,"['1 quarto ', ' 1 vaga']",Bom Pastor
382,AP1454 Apartamento Residencial / Barro Vermelho,R$ 1.100,"['2 quartos ', ' 67m² ', ' 1 vaga']",Barro Vermelho
383,"Apartamento em Ponta Negra, Natal/RN",R$ 1.000,"['2 quartos ', ' 45m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Neópolis
384,"Residencial Cristallo, Ponta Negra - Apto mobiliado 2/4 sendo 1 suíte, para alugar",R$ 2.300,"['2 quartos ', ' 0m² ', ' 1 vaga']",Ponta Negra
385,Aluguel em Candelária R6 - Cl,R$ 3.500,"['4 quartos ', ' 450m² ', ' 5 ou mais vaga']",Candelária
386,Alameda dos Eucaliptos ,R$ 900,['2 quartos'],Neópolis
387,"Aluga-se apto no cond. Solar das Nações 800reais, já incluso taxas",R$ 800,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 270 ', ' 1 vaga']",Candelária
388,Aluga-se Apto cond. Araguaia com 3 quartos R$ 1.200mil reais,R$ 1.200,"['3 quartos ', ' 98m² ', ' Condomínio: R$ 350 ', ' 1 vaga']",Lagoa Nova
389,Aluga-se kit Net no bairro satélite com 1 suíte. cozinha americana. R$ 550reais,R$ 550,['1 quarto'],Pitimbu
390,Condomínio Praia do Forte,R$ 1.000,"['2 quartos ', ' 48m² ', ' Condomínio: R$ 400 ', ' 1 vaga']",Ponta Negra
391,Alugo Kitnet em Lagoa Nova (Próximo a UFRN e UNP),R$ 500,"['1 quarto ', ' 55m²']",Lagoa Nova
392,Me alugue! Sou um kitnet novinho com versão à partir de R$ 750,R$ 750,"['1 quarto ', ' 19m²']",Lagoa Nova
393,Uma Lindeza Mobilado Em Tirol Flat,R$ 2.300,"['1 quarto ', ' 56m² ', ' 1 vaga']",Petrópolis
394,Apartamento andar alto Sun Tower/pitimbu/satelite/,R$ 1.250,"['2 quartos ', ' 59m² ', ' 2 vagas']",Pitimbu
395,"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:AP1402",R$ 880,"['2 quartos ', ' 48m² ', ' 1 vaga']",Ponta Negra
396,"Sou um apartamento no 13 andar do Quatro Estações disponível por R$ 1.590,00",R$ 1.590,"['2 quartos ', ' 57m²']",Candelária
397,Alugo apartamento na cidade Alta,R$ 650,"['2 quartos ', ' 75m²']",Cidade Alta
398,Apartamento Super bem Localizado em Capim Macio,R$ 1.200,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
399,Duna Barcane mobiliado,R$ 289.999,"['2 quartos ', ' 56m² ', ' 2 vagas']",Ponta Negra
400,Locação ? Condomínio Brasil Colônia em Lagoa Nova - 120 m² 03 Suítes,R$ 2.900,"['3 quartos ', ' 120m² ', ' 2 vagas']",Lagoa Nova
401,Vila do Mar - Codomínio Praia do Forte - Unidade 303 (Ponta Negra),R$ 1.000,"['2 quartos ', ' 48m² ', ' 1 vaga']",Ponta Negra
402,Kitnet Mirassol,,"['1 quarto ', ' 28m²']",Capim Macio
403,Kitnets  em Neópolis. ,,['1 quarto'],Neópolis
404,Flat Mobiliado Aluguel Lagoa Nova,R$ 1.400,"['1 quarto ', ' 30m² ', ' 1 vaga']",Lagoa Nova
405,Apartamentos para estudantes Capim Macio ,R$ 1.000,"['2 quartos ', ' 35m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
406,Palazzo Ponta Negra.  Oportunidade,R$ 4.299,"['4 quartos ', ' 3 vagas']",Capim Macio
407,Sua Nova opção de investir ou morar Ponta Negra,R$ 350.000,"['2 quartos ', ' 1 vaga']",Ponta Negra
408,Excelente Apartamento 3/4 sendo 3 suítes no cond. Imperial de Ponta Negra,R$ 2.780,"['3 quartos ', ' 102m² ', ' 2 vagas']",Ponta Negra
409,Apartamento com 3\4 em ponta negra em condomínio Club muito ventilado,R$ 2.199,"['3 quartos ', ' 100m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Ponta Negra
410,"Apartamento Mobiliado Alto Padrão com 4 suítes em Areia Preta, Cond Infinity Areia Preta",R$ 10.000,"['5 ou mais quarto ', ' 276m² ', ' 3 vagas']",Ponta Negra
411,"Apartamento em Ponta Negra (10º andar, ventilado, 2/4 sendo 01 suíte, R$ 1.500 reais)",R$ 1.500,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Pitimbu
412,Apartamento em candelária divisa com lagoa nova com 3\4 com acabamento de alta qualidade,R$ 2.500,"['3 quartos ', ' 87m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Candelária
413,Kitnets /Ap. 1 Quarto - Mobiliados em P. Negra,R$ 700,"['1 quarto ', ' 30m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
414,Studio em Ponta-Negra em Hotel super novo,R$ 1.950,"['1 quarto ', ' 27m² ', ' 1 vaga']",Ponta Negra
415,"Apartamento para alugar com 2 dormitórios em Nova descoberta, Natal cod:11277",R$ 700,"['2 quartos ', ' 65m² ', ' Condomínio: R$ 551 ', ' 1 vaga']",Nova Descoberta
416,(Leia a descrição) Apto para aluguel em Ponta Negra.,R$ 1.500,"['2 quartos ', ' 54m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
417,Alugo Apartamento no top life 2 quartos ,R$ 1.100,"['2 quartos ', ' 47m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Nossa Senhora da Apresentação
418,Alugo apartamento na zona sul de Nata RN,R$ 1.100,"['3 quartos ', ' 95m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
419,"Apto 3/4 + dependência, condomínio excelente 3000,00 incluso taxas",R$ 3.150,"['3 quartos ', ' 115m² ', ' 2 vagas']",Neópolis
420,"Apartamento com 3 quartos, 267 m², aluguel por R$ 2.000/mês",R$ 2.000,['267m²'],Petrópolis
421,Excelente Apartamento 3/4 em ponta negra Terramaris Club Condominium,R$ 3.500,"['3 quartos ', ' 101m² ', ' 2 vagas']",Ponta Negra
422,Apartamento 1 quarto proximo midway e unp,R$ 700,"['1 quarto ', ' Condomínio: R$ 0']",Lagoa Seca
423,Aluga-se apartamento em lagoa nova,R$ 2.300,"['3 quartos ', ' 85m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Cidade da Esperança
424,Apartamento Pertinho do Max Supermercado COD Loc 0812,R$ 850,"['1 quarto ', ' 70m² ', ' 1 vaga']",Lagoa Nova
425,Apartamento,R$ 1.200,"['2 quartos ', ' 49m² ', ' Condomínio: R$ 1.200 ', ' 1 vaga']",Pitimbu
426,Residencial Áurea Guedes (Praia de Ponta Negra-RN),R$ 250.000,"['2 quartos ', ' 52m² ', ' 1 vaga']",Ponta Negra
427,Alugo excelente apartamento no Residencial Mar del Plata! 84.99125-14-05,R$ 850,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Planalto
428,"Alugo apartamento no residencial Sun Set, em neópolis!",,['0m²'],Ponta Negra
429,"Alugo apartamento no condominio, sun tower, projetado, lindo apartamento!",R$ 1.280,"['2 quartos ', ' 58m² ', ' 1 vaga']",Pitimbu
430,Kitnet UFRN,R$ 600,"['1 quarto ', ' 0m² ', ' 1 vaga']",Capim Macio
431,Alugo apt 3 quartos no tirol,R$ 1.500,"['3 quartos ', ' 100m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Tirol
432,Apart mobiliado ,R$ 2.200,['2 quartos'],Ponta Negra
433,Lindo apartamento alto padrão ,R$ 4.500,,Ponta Negra
434,Apartamento no condominio villagio Verita,R$ 1.000,"['2 quartos ', ' 1 vaga']",Pitimbu
435,"Alugo apto no condomínio Terramaris com 2/4 suite Ponta Negra R$ 1.300,00",R$ 1.300,"['2 quartos ', ' 55m² ', ' 1 vaga']",Ponta Negra
436,Aluguel Flat Ponta Negra,R$ 1.700,"['1 quarto ', ' 36m² ', ' 1 vaga']",Ponta Negra
437,Apartamento Mobiliado- Creci 1912- Petropolis,R$ 2.000,"['2 quartos ', ' 0m² ', ' 1 vaga']",Petrópolis
438,Apartamento 2/4 em Ponta negra - Cond. Ecogarden,R$ 1.100,"['2 quartos ', ' 0m² ', ' 1 vaga']",Ponta Negra
439,Apartamento Mobiliado - Cond Luis Barros - Creci 1912,R$ 2.000,"['3 quartos ', ' 0m² ', ' 1 vaga']",Petrópolis
440,Aluguel Apto Pallacios,R$ 2.050,"['2 quartos ', ' 56m² ', ' 1 vaga']",Tirol
441,"Apartamento com 2 quartos, 65 m², aluguel por R$ 1.240/mês",R$ 1.240,"['2 quartos ', ' 65m² ', ' 1 vaga']",Capim Macio
442,Procuro uma moça pra dividir um apartamento,R$ 400,['2 quartos'],Nossa Senhora da Apresentação
443,Apartamento de 3 quartos Condomínio Áurea Guedes,R$ 349.990,"['3 quartos ', ' 67m² ', ' 2 vagas']",Ponta Negra
444,Apartamento para alugar satéite,R$ 600,"['1 quarto ', ' 25m² ', ' 1 vaga']",Pitimbu
445,Condomínio Reserva das Praias,R$ 2.500,"['2 quartos ', ' 0m² ', ' 1 vaga']",Ponta Negra
446,R$ 1.500 Aluguel - Apartamento em Ponta Negra - 1 suíte - Kiwi Flat - 36m²,R$ 1.500,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 0']",Ponta Negra
447,Flat em ponta negra próximo da av engenheiro roberto freire com 1\4,R$ 1.500,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
448,Alugo apartamento no Serrambi II,R$ 750,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
449,Aluguel ,,['2 quartos'],Planalto
450,AP 2 quartos próximo a UFRN em Mirassol (fone/wpp *37),R$ 1.100,"['2 quartos ', ' 50m² ', ' Condomínio: R$ 0']",Capim Macio
451,Alugo Excelente apartamento de 03 quartos no Caravelle,R$ 1.400,"['3 quartos ', ' 150m² ', ' 1 vaga']",Barro Vermelho
452,"Apartamento com 3 dormitórios para alugar, 93 m² por R$ 1.700,00/mês - Capim Macio - Natal",R$ 1.700,"['3 quartos ', ' 93m² ', ' 2 vagas']",Capim Macio
453,Aluga-se,R$ 470,"['1 quarto ', ' Condomínio: R$ 0 ', ' 1 vaga']",Dix-Sept Rosado
454,Apartamento com 3 suítes,R$ 3.500,"['3 quartos ', ' 3 vagas']",Ponta Negra
455,Aluguel Res Elza Chaves - Neópolis,R$ 1.700,"['3 quartos ', ' 77m² ', ' 2 vagas']",Neópolis
456,Cond. Torre Imperial,R$ 1.800,"['4 quartos ', ' 260m² ', ' Condomínio: R$ 1.545 ', ' 3 vagas']",Lagoa Nova
457,Aluga-se apartamento mobiliado no Duna Barcane - Ponta Negra,R$ 2.500,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
458,ALUGO KITNETES DE RS 570 A RS 780,R$ 570,"['1 quarto ', ' 35m² ', ' 1 vaga']",Ponta Negra
459,Apartamento Mobiliado - Capim Macio,R$ 2.450,"['2 quartos ', ' 56m² ', ' 1 vaga']",Capim Macio
460,Alugo Flat Mobiliado em Ponta Negra.,R$ 1.300,"['1 quarto ', ' 35m² ', ' 1 vaga']",Ponta Negra
461,Condominio Costa Atlantico - Ponta Negra,R$ 1.100,"['1 quarto ', ' 50m² ', ' 1 vaga']",Ponta Negra
462,S0107 - Apartamento com 2/4 para Alugar por R$ 1.900/Mês - Ponta Negra,R$ 1.900,"['2 quartos ', ' 119m² ', ' 1 vaga']",Ponta Negra
463,Condomínio Parque das Pedras - 3 Quartos,R$ 750,"['3 quartos ', ' 75m² ', ' 1 vaga']",Candelária
464,Cód. 7969 - Cond. Marina Praia Sul I,R$ 750,"['3 quartos ', ' 75m² ', ' Condomínio: R$ 550 ', ' 1 vaga']",Capim Macio
465,Cond. Morada dos Colibris,R$ 1.700,"['3 quartos ', ' 75m² ', ' 1 vaga']",Capim Macio
466,"Apartamento 3 quartos,1 vaga ,92 m², bairro redinha, condomínio Riverside",R$ 1.100,"['3 quartos ', ' 92m² ', ' 1 vaga']",Redinha
467,Cond. Tereza Campos,R$ 3.200,"['3 quartos ', ' 156m² ', ' Condomínio: R$ 1.070 ', ' 3 vagas']",Lagoa Nova
468,"AP 3 quartos em Mirassol próximo a UFRN (agua, iptu, condomínio e internet inclusos)",R$ 1.300,"['3 quartos ', ' 70m² ', ' Condomínio: R$ 0']",Capim Macio
469,"Alugo Ótimo Apartamento no Condomínio Residencial Lilac, Lagoa Nova, Natal, RN",R$ 4.150,"['5 ou mais quarto ', ' 160m² ', ' 4 vagas']",Dix-Sept Rosado
470,Cód. 11277 Cond. Abalone - Semi-mobiliado,R$ 700,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 551 ', ' 1 vaga']",Nova Descoberta
471,Kitnet com 3 cômodos mobiliado em Mirassol (próximo ao campus da UFRN),R$ 650,"['1 quarto ', ' 35m²']",Capim Macio
472,Excelente Apt. em Lagoa nova 3/4,R$ 2.500,"['3 quartos ', ' 100m² ', ' Condomínio: R$ 860 ', ' 2 vagas']",Lagoa Nova
473,Residencial Áurea Guedes - Apartamento de 3 Quartos em Ponta Negra,R$ 358.999,"['3 quartos ', ' 67m² ', ' 2 vagas']",Ponta Negra
474,Suítes Mobiliada,R$ 700,"['1 quarto ', ' 1 vaga']",Ponta Negra
475,"S0479 - Apartamento com 2 Quartos para Alugar, 48 m² por R$ 1.800/Mês",R$ 1.800,"['2 quartos ', ' 48m²']",Tirol
476,Apartamento no Sun Towers - 55 m2,R$ 1.400,"['2 quartos ', ' 55m² ', ' 2 vagas']",Pitimbu
477,HC - APTO LAGOA NOVA 3/4 + DEP,R$ 2.900,"['3 quartos ', ' 110m² ', ' Condomínio: R$ 0']",Lagoa Nova
478,Excelente apto 3/4 sendo 1 suítes em Capim Macio no Edifício Maria Bernadete,R$ 2.500,"['3 quartos ', ' 78m² ', ' 2 vagas']",Capim Macio
479,"Apartamento com 2 dormitórios para alugar, 53 m² por R$ 1.500,00/mês - Ponta Negra - Natal",R$ 1.500,"['2 quartos ', ' 53m² ', ' 1 vaga']",Ponta Negra
480,"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821181",R$ 1.005,"['2 quartos ', ' 61m² ', ' Condomínio: R$ 440 ', ' 1 vaga']",Dix-Sept Rosado
481,Apartamento de luxo com 2 quartos em PONTA NEGRA ZAP. 84. *,R$ 200,"['2 quartos ', ' 70m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
482,Quitinetes oferta,R$ 480,"['1 quarto ', ' 2 vagas']",Lagoa Nova
483,Alugo Kitnet em Candelária,,"['1 quarto ', ' 1 vaga']",Candelária
484,Alugo Apartamento,R$ 800,"['2 quartos ', ' 1 vaga']",Cidade Alta
485,Alugo Apt 3 Q mobiliado lagoa nova,R$ 1.150,"['3 quartos ', ' 110m² ', ' Condomínio: R$ 350 ', ' 1 vaga']",Lagoa Nova
486,Ahaed Capim Macio . Locação imperdível,R$ 2.499,"['2 quartos ', ' 2 vagas']",Capim Macio
487,"Aludo apartamento com 3 quartos em Capim Macio, Remax Gama",R$ 1.600,"['3 quartos ', ' 75m² ', ' 2 vagas']",Capim Macio
488,Apartamento 4 dormitórios sendo 3 suíte com 198 m² para locação em Lagoa Nova,R$ 3.700,"['4 quartos ', ' 20m² ', ' 3 vagas']",Nova Descoberta
489,Apto 2/4 Mobiliado em Ponta Negra - Excelente Oportunidade ,R$ 2.200,"['2 quartos ', ' 1 vaga']",Ponta Negra
490,Apartamento 2 quartos -Dix Sept Rosadol - Natal/RN,R$ 1.000,"['2 quartos ', ' 85m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Dix-Sept Rosado
491,Alugo apartamentos em prédio localizado próximo à praia de Ponta Negra,R$ 778,"['2 quartos ', ' 53m² ', ' 1 vaga']",Ponta Negra
492,Duna Barcane mobiliado e vista mar!,R$ 2.500,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
493,Apartamento de 3/4: excelente opprtunidade!!,R$ 2.500,"['3 quartos ', ' 98m² ', ' Condomínio: R$ 560 ', ' 2 vagas']",Cidade Alta
494,Locação 3/4 em Ponta Negra,R$ 2.000,"['3 quartos ', ' 96m² ', ' 2 vagas']",Ponta Negra
495,Aluguel Apartamento Mobiliado Ponta Negra Natal RN,R$ 1.000,"['1 quarto ', ' 36m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
496,Aluguel - Apartamento em Ponta Negra - 2/4 Suíte - 55m² - Blue Ocean - 30º Andar,R$ 2.400,"['2 quartos ', ' 55m²']",Ponta Negra
497,Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,R$ 1.501,"['3 quartos ', ' 70m²']",Capim Macio
498,Apartamento 1/4 C/Garagem em Ponta Negra,R$ 520,"['1 quarto ', ' 1 vaga']",Ponta Negra
499,PROCURA-SE CASA/APTO PARA ALUGAR,R$ 300,"['2 quartos ', ' 0m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Pajuçara
500,Kitnet aluguel,R$ 700,"['1 quarto ', ' 10m²']",Lagoa Nova
501,LM-1358 - Apartamento bem localizado - Ponta Negra,R$ 2.700,"['2 quartos ', ' 60m²']",Ponta Negra
502,Residencial planalto gardens,R$ 800,"['2 quartos ', ' 54m² ', ' 1 vaga']",Planalto
503,LM-AP2199 - Apartamento Amplamente Sofisticado em Jardins do Alto,R$ 3.000,"['2 quartos ', ' 70m² ', ' 1 vaga']",Tirol
504,"Alugo apartamento tipo flat, em capim macio, com dois ambientes ",R$ 800,"['1 quarto ', ' 35m²']",Capim Macio
505,AR Alugo apartamento residencial Jiqui,R$ 760,"['2 quartos ', ' 48m² ', ' Condomínio: R$ 200 ', ' 1 vaga']",Neópolis
506,Apt 3 quartos Capim macio,R$ 1.300,"['3 quartos ', ' 83m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
507,"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:EI23028",R$ 1.000,"['3 quartos ', ' 100m² ', ' Condomínio: R$ 370 ', ' 3 vagas']",Lagoa Nova
508,Apartamento com 4 quartos para locação em Tirol,R$ 3.100,"['4 quartos ', ' 200m² ', ' Condomínio: R$ 1.755 ', ' 2 vagas']",Barro Vermelho
509,LM2150-Luxuoso Condomínio Palazzo Ponta Negra,R$ 5.001,"['3 quartos ', ' 160m² ', ' Condomínio: R$ 0 ', ' 3 vagas']",Capim Macio
510, aluguel Apartamento próximo ao shopping mydway,R$ 630,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 300 ', ' 1 vaga']",Lagoa Nova
511,Casa 1 quarto cond. Zona norte,R$ 400,"['1 quarto ', ' 1 vaga']",Redinha
512,Vendo ou alugo! Apt. no NASHVILLE Lagoa nova Natal,R$ 1.490,"['1 quarto ', ' 40m² ', ' Condomínio: R$ 270 ', ' 1 vaga']",Lagoa Nova
513,Excelente apartamento em Tirol com 2 quartos ,R$ 1.950,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Tirol
514,Alugo kit Net No Bom Pastor,R$ 380,"['1 quarto ', ' 1 vaga']",Bom Pastor
515,Flat Mobiliado Aluguel - Lagoa Nova,R$ 1.400,"['1 quarto ', ' 30m² ', ' 1 vaga']",Lagoa Nova
516,Excelente apartamento em Tirol,R$ 5.500,"['3 quartos ', ' 130m² ', ' 2 vagas']",Tirol
517,"Flat mobiliado em Ponta Negra, em excelente localização na Roberto Freire",R$ 1.500,"['1 quarto ', ' 37m² ', ' 1 vaga']",Ponta Negra
518,Ocean View II!,R$ 1.700,"['1 quarto ', ' 56m² ', ' 1 vaga']",Areia Preta
519,Apartamento de 2 quartos com suíte e móveis planejados no planalto,R$ 750,"['2 quartos ', ' 55m²']",Planalto
520,Aluga-se FLAT,R$ 950,"['1 quarto ', ' 1 vaga']",Ponta Negra
521,Estrela do Atlântico (Andar alto),R$ 1.850,"['2 quartos ', ' 59m² ', ' 1 vaga']",Ponta Negra
522,Serrambi 3,R$ 800,"['2 quartos ', ' 1 vaga']",Neópolis
523,Apartamento,R$ 1.900,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 460 ', ' 1 vaga']",Ponta Negra
524,Apto 5° andar em tirol/ e pra de cotovelo  mobiliado.,R$ 2.000,['3 quartos'],Tirol
525,Apartamento para locação em capim macio próximo do praia shopping ,R$ 700,"['3 quartos ', ' 80m² ', ' Condomínio: R$ 650 ', ' 2 vagas']",Capim Macio
526,"Apartamento para alugar com 2 dormitórios em Cidade da esperança, Natal cod:10927",R$ 700,"['2 quartos ', ' 53m² ', ' Condomínio: R$ 498 ', ' 1 vaga']",Cidade da Esperança
527,"Aluga-se apartamento em Capim-macio, 2 dormitórios",R$ 950,"['2 quartos ', ' 0m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
528,"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.100/mês - Candelária - Natal/RN",R$ 1.100,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 350 ', ' 1 vaga']",Candelária
529,"Apartamento com 2 dormitórios para alugar, 57 m² por R$ 1.400,00 - Neópolis - Natal/RN",R$ 1.400,"['2 quartos ', ' 57m² ', ' 2 vagas']",Neópolis
530,"Apartamento para Locação em Natal, Ponta Negra, 2 dormitórios, 1 suíte, 3 banheiros, 2 vag",R$ 2.800,"['2 quartos ', ' 110m² ', ' 2 vagas']",Ponta Negra
531,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:3537",R$ 480,"['1 quarto ', ' 35m² ', ' Condomínio: R$ 60']",Alecrim
532,"Apartamento para alugar com 3 dormitórios em Neópolis, Natal cod:AP1634",R$ 1.450,"['3 quartos ', ' 97m²']",Neópolis
533,Apartamento em Ponta Negra ,R$ 2.000,"['1 quarto ', ' 45m² ', ' 1 vaga']",Ponta Negra
534,"Apartamento para Locação em Natal, Ponta Negra, 3 dormitórios, 1 suíte, 3 banheiros, 2 vag",R$ 3.500,"['3 quartos ', ' 110m² ', ' 2 vagas']",Ponta Negra
535,VR-Locação Flat Mobiliado 78m² a 200m da Praia de Ponta Negra,R$ 2.000,"['1 quarto ', ' 78m² ', ' 1 vaga']",Ponta Negra
536,"VR-Flat Com ou Sem Mobília Próximo ao Praia Shopping Entrada em Novembro, Reserve o Seu",R$ 1.100,"['1 quarto ', ' 30m² ', ' 1 vaga']",Capim Macio
537,Residencial Estrela do Atlântico (Mobiliado),R$ 2.000,"['2 quartos ', ' 0m² ', ' 1 vaga']",Ponta Negra
538,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:AA-7201",R$ 700,"['1 quarto ', ' 1 vaga']",Barro Vermelho
539,"AP 2 quartos na AV Romualdo Galvão, Plano 100 (Villagio di Roma)",R$ 1.500,"['2 quartos ', ' 70m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Lagoa Nova
540,Alugo primeiro andar,R$ 500,['2 quartos'],Potengi
541,"Locação Apart. condominio Veritá (2º andar, 2/4, R$ 750 reais) - Cidade Satélite",R$ 750,"['2 quartos ', ' 50m² ', ' 1 vaga']",Pitimbu
542,Condomínio Green Tower alugar,R$ 1.200,"['3 quartos ', ' 102m² ', ' Condomínio: R$ 550 ', ' 1 vaga']",Lagoa Nova
543,Apartamento 2/4 - Condomínio Sun Towers,R$ 1.200,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 400 ', ' 1 vaga']",Pitimbu
544,Apartamento com 2 quartos no Residencial Nizário Gurgel,R$ 1.400,"['2 quartos ', ' 52m² ', ' 1 vaga']",Petrópolis
545,"Locação no Jardim Satélite 2/4 R$ 700,00 - Cidade satélite",R$ 700,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 290 ', ' 1 vaga']",Pitimbu
546,Duna Barcane mobíliado (2 vagas de garagem),R$ 295.000,"['2 quartos ', ' 56m² ', ' 2 vagas']",Ponta Negra
547,Alugo apartamento no Estrela do Atlântico mobiliado 12° andar,R$ 2.400,"['2 quartos ', ' 59m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
548,Kitnet com garagem coberta zona norte,R$ 400,"['1 quarto ', ' 1 vaga']",Redinha
549,Apt em lagoa nova,R$ 1.500,"['2 quartos ', ' 62m² ', ' 1 vaga']",Lagoa Nova
550,Apartamento mobiliado em Ponta Negra ,R$ 1.600,"['2 quartos ', ' 54m² ', ' Condomínio: R$ 530 ', ' 1 vaga']",Ponta Negra
551,Estrela do Atlântico - Andar Alto - aceita financiamento,R$ 329.999,"['2 quartos ', ' 59m² ', ' 1 vaga']",Ponta Negra
552,Kitnet (Lagoa Nova),R$ 600,"['1 quarto ', ' 0m²']",Lagoa Nova
553,"Apto mobilhado de 2 quartos para alugar, Bairro de Candelária em Natal RN",R$ 1.800,"['2 quartos ', ' 56m² ', ' 1 vaga']",Candelária
554,"Apto 3/4 próximo ao Midway, IFRN e Unp, taxas inclusas",R$ 1.800,"['3 quartos ', ' Condomínio: R$ 0 ', ' 1 vaga']",Lagoa Nova
555,Traga hoje mesmo sua mobília More em Ponta Negra,R$ 1.700,"['1 quarto ', ' 57m² ', ' 1 vaga']",Ponta Negra
556,"Condomínio Giorgio - Apto 3/4 com suite de 115 m², dependência por 1.500, Tirol, Natal",R$ 1.500,"['3 quartos ', ' 115m² ', ' Condomínio: R$ 250 ', ' 1 vaga']",Tirol
557,Alugo Cobertura no Vita Residencial Clube,R$ 3.900,"['4 quartos ', ' 176m² ', ' 3 vagas']",Pitimbu
558,"Alugo apartamento no condomínio serrambi 1, 2/4 suite R$ 730",R$ 730,"['2 quartos ', ' 58m² ', ' 1 vaga']",Neópolis
559,"Apartamento para Locação em Natal, Capim Macio, 2 dormitórios, 1 banheiro, 1 vaga",R$ 1.200,"['2 quartos ', ' 55m² ', ' 1 vaga']",Capim Macio
560,Aluguel - Apartamento em Ponta Negra - 2/4 Suíte - 55m² - Blue Ocean - 30º Andar,R$ 2.401,"['2 quartos ', ' 55m²']",Ponta Negra
561,"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:4170",R$ 480,"['1 quarto ', ' 30m² ', ' Condomínio: R$ 70']",Alecrim
562,"Apartamento para alugar com 3 dormitórios em Lagoa nova, Natal cod:6846",R$ 850,"['3 quartos ', ' 107m² ', ' Condomínio: R$ 580 ', ' 1 vaga']",Lagoa Nova
563,"Apartamento para alugar com 2 dormitórios em Petrópolis, Natal cod:2824",R$ 900,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 610 ', ' 1 vaga']",Petrópolis
564,"Alugo Kitnet em Felipe Camarão 1/4 360,00 Não paga água",R$ 360,"['1 quarto ', ' 0m² ', ' 1 vaga']",Felipe Camarão
